calldate,clid,src,dst,dcontext,channel,dstchannel,lastapp,lastdata,duration,billsec,disposition,amaflags,accountcode,uniqueid,userfield
2017-04-03 17:54:28,"ID - David Ferreira" <8701>,8701,9002,from-internal,SIP/8701-0000022b,SIP/9002-0000022c,Dial,"SIP/9002,22,TtrwWIM(auto-blkvm)",5196,5183,ANSWERED,3,,1491252868.563,
2017-04-03 17:50:06,"Ramal - Sala de Reuniao" <9002>,9002,8301,from-did-direct,SIP/9002-00000228,SIP/8301-0000022a,Dial,"SIP/8301,22,TtrwWIIM(auto-blkvm)",48,0,NO ANSWER,3,,1491252606.560,
2017-04-03 17:48:11,"Ramal - Area Tecnica - Bancada 3" <9305>,9305,8701,from-internal,SIP/9305-00000226,SIP/8701-00000227,Dial,"SIP/8701,22,TtrwWIM(auto-blkvm)",352,335,ANSWERED,3,,1491252491.558,
2017-04-03 17:39:10,9302,9302,39066736,from-internal,SIP/9302-00000224,SIP/2122405157-00000225,Dial,"SIP/2122405157/39066736,300,TtwW",52,51,ANSWERED,3,,1491251950.556,
2017-04-03 17:37:37,"Ramal - Area Tecnica - Bancada 4" <9302>,9302,9000,ext-group,SIP/9302-00000215,SIP/9403-00000223,Dial,SIP/9101&SIP/9102&SIP/9205&SIP/9301&SIP/9302&SIP/9303&SIP/9304&SIP/9305&SIP/930,31,0,NO ANSWER,3,,1491251857.541,
2017-04-03 17:35:22,9302,9302,39066734,from-internal,SIP/9302-00000212,SIP/Tronco - DirectCall - RJ-00000213,Busy,20,3,0,BUSY,3,,1491251722.538,
2017-04-03 17:34:58,9302,9302,39066734,from-internal,SIP/9302-00000210,SIP/Tronco - DirectCall - RJ-00000211,Busy,20,2,0,BUSY,3,,1491251698.536,
2017-04-03 17:29:55,9306,9306,40049008,from-internal,SIP/9306-0000020e,SIP/2122405157-0000020f,Dial,"SIP/2122405157/40049008,300,TtwW",371,370,ANSWERED,3,,1491251395.534,
2017-04-03 17:01:40,8301,8301,01141529245,from-internal,SIP/8301-0000020c,SIP/Tronco - DirectCall - SP-0000020d,Dial,"SIP/Tronco - DirectCall - SP/551141529245,300,TtwW",265,247,ANSWERED,3,,1491249700.532,
2017-04-03 17:01:20,8701,8701,01141529245,from-internal,SIP/8701-0000020a,SIP/Tronco - DirectCall - SP-0000020b,Dial,"SIP/Tronco - DirectCall - SP/551141529245,300,TtwW",4,0,NO ANSWER,3,,1491249680.530,
2017-04-03 17:00:12,"551137703200" <551137703200>,551137703200,8701,from-did-direct,SIP/Tronco - DirectCall - RJ-00000208,SIP/8701-00000209,Dial,"SIP/8701,22,TtrwWIM(auto-blkvm)",42,20,ANSWERED,3,,1491249612.528,
2017-04-03 16:58:57,"1137703200" <1137703200>,1137703200,9000,ext-group,SIP/Tronco - DirectCall - SP-00000205,SIP/9102-00000207,AGI,dialparties.agi,56,56,NO ANSWER,3,,1491249537.525,
2017-04-03 16:57:53,"551137703200" <551137703200>,551137703200,8701,from-did-direct,SIP/Tronco - DirectCall - RJ-00000203,SIP/8701-00000204,Dial,"SIP/8701,22,TtrwWIM(auto-blkvm)",47,26,ANSWERED,3,,1491249473.523,
2017-04-03 16:56:57,"551137703200" <551137703200>,551137703200,8701,from-did-direct,SIP/Tronco - DirectCall - RJ-00000201,SIP/8701-00000202,Dial,"SIP/8701,22,TtrwWIM(auto-blkvm)",39,13,ANSWERED,3,,1491249417.521,
2017-04-03 16:15:17,9304,9304,31317046,from-internal,SIP/9304-000001ff,SIP/2122405157-00000200,Dial,"SIP/2122405157/31317046,300,TtwW",384,382,ANSWERED,3,,1491246917.519,
2017-04-03 16:12:05,9205,9205,31317046,from-internal,SIP/9205-000001fd,SIP/2122405157-000001fe,Dial,"SIP/2122405157/31317046,300,TtwW",53,52,ANSWERED,3,,1491246725.517,
2017-04-03 16:11:09,9205,9205,988276858,from-internal,SIP/9205-000001fc,Mobile/21981570027-39f5,Dial,"Mobile/21981570027/988276858,300,TtwW",47,22,ANSWERED,3,,1491246669.515,
2017-04-03 15:54:50,9205,9205,03132297666,from-internal,SIP/9205-000001fa,SIP/Tronco - DirectCall - RJ-000001fb,Busy,20,3,0,BUSY,3,,1491245690.513,
